Time ,Day,shopping ,education ,medical,recreational ,personal ,transit ,dining ,work,home
0:00:00,week ,1,1,3,1,1,3,1,1,3
1:00:00,week ,1,1,3,1,1,3,1,1,3
2:00:00,week ,1,1,3,1,1,3,1,1,3
3:00:00,week ,1,1,3,1,1,3,1,1,3
4:00:00,week ,1,1,3,1,1,3,1,1,3
5:00:00,week ,1,2,3,1,1,3,1,2,2
6:00:00,week ,1,5,3,1,2,4,1,3,2
7:00:00,week ,1,5,3,2,3,4,2,5,2
8:00:00,week ,1,4,3,2,4,4,2,5,2
9:00:00,week ,2,3,3,2,4,4,2,3,2
10:00:00,week ,2,2,3,2,4,3,2,2,2
11:00:00,week ,3,2,3,2,4,3,2,2,2
12:00:00,week ,4,2,3,2,4,3,3,2,2
13:00:00,week ,4,2,3,2,4,3,4,2,2
14:00:00,week ,4,4,3,2,4,3,3,2,2
15:00:00,week ,5,4,3,2,4,3,3,2,3
16:00:00,week ,5,2,3,4,4,4,3,2,3
17:00:00,week ,5,2,3,4,1,4,3,1,3
18:00:00,week ,4,1,3,4,1,4,4,1,4
19:00:00,week ,3,1,3,4,1,4,4,1,4
20:00:00,week ,2,1,3,4,1,3,4,1,4
21:00:00,week ,2,1,3,3,1,3,2,1,4
22:00:00,week ,1,1,3,3,2,3,1,1,3
23:00:00,week ,1,1,3,2,2,3,1,1,3
0:00:00,sat,1,1,3,1,1,3,1,1,3
1:00:00,sat,1,1,3,1,1,3,1,1,3
2:00:00,sat,1,1,3,1,1,3,1,1,3
3:00:00,sat,1,1,3,1,1,3,1,1,3
4:00:00,sat,1,1,3,1,1,3,1,1,3
5:00:00,sat,1,2,3,1,1,3,1,2,2
6:00:00,sat,1,3,3,1,2,3,1,3,2
7:00:00,sat,1,3,3,2,2,3,2,5,2
8:00:00,sat,1,4,3,3,3,3,2,5,2
9:00:00,sat,2,4,3,3,4,4,2,3,2
10:00:00,sat,3,3,3,3,4,3,2,2,2
11:00:00,sat,4,2,3,3,3,3,2,2,2
12:00:00,sat,4,2,3,3,3,3,3,2,2
13:00:00,sat,4,2,3,3,3,3,4,2,2
14:00:00,sat,4,2,3,4,2,3,3,2,2
15:00:00,sat,5,2,3,4,2,3,3,2,3
16:00:00,sat,5,2,3,4,2,4,3,2,3
17:00:00,sat,5,2,3,4,2,4,3,1,3
18:00:00,sat,5,1,3,4,2,4,4,1,4
19:00:00,sat,4,1,3,4,1,4,4,1,4
20:00:00,sat,3,1,3,4,1,3,4,1,4
21:00:00,sat,2,1,3,3,1,3,3,1,4
22:00:00,sat,1,1,3,3,1,3,2,1,3
23:00:00,sat,1,1,3,2,1,3,1,1,3
0:00:00,sun ,1,1,3,1,1,3,1,1,3
1:00:00,sun ,1,1,3,1,1,3,1,1,3
2:00:00,sun,1,1,3,1,1,3,1,1,3
3:00:00,sun,1,1,3,1,1,3,1,1,3
4:00:00,sun,1,1,3,1,1,3,1,1,3
5:00:00,sun,1,1,3,1,1,3,1,2,2
6:00:00,sun,1,1,3,1,2,4,1,2,2
7:00:00,sun,1,2,3,2,2,4,2,3,2
8:00:00,sun,2,2,3,3,2,4,2,3,2
9:00:00,sun,3,2,3,3,2,4,2,2,2
10:00:00,sun,3,2,3,3,2,3,2,2,2
11:00:00,sun,4,2,3,3,2,3,2,2,2
12:00:00,sun,4,2,3,3,2,3,3,2,2
13:00:00,sun,5,2,3,4,2,3,4,2,2
14:00:00,sun,5,2,3,4,2,3,3,2,2
15:00:00,sun,5,2,3,4,2,3,3,2,3
16:00:00,sun,5,1,3,4,2,4,3,2,3
17:00:00,sun,5,1,3,4,2,4,3,1,3
18:00:00,sun,4,1,3,4,2,4,4,1,4
19:00:00,sun,4,1,3,4,2,4,4,1,4
20:00:00,sun,3,1,3,4,2,3,4,1,4
21:00:00,sun,2,1,3,3,2,3,2,1,4
22:00:00,sun,1,1,3,3,2,3,1,1,3
23:00:00,sun,1,1,3,2,2,3,1,1,3
